"URL","Titulo","Autor"
"https://infobae.com/sociedad/2025/08/07/video-dos-borrachos-le-dieron-una-brutal-paliza-a-las-mozas-de-una-cerveceria-de-la-matanza/","Dos borrachos le dieron una brutal paliza a las mozas de una cervecería en el conurbano bonaerense",""
"https://infobae.com/deportes/2025/08/07/aseguran-que-franco-mastantuno-usara-un-historico-dorsal-en-el-real-madrid-los-grandes-jugadores-que-vistieron-la-camiseta/","Aseguran que Mastantuno usará un histórico dorsal en el Real Madrid: los grandes jugadores que lo vistieron",""
"https://infobae.com/judiciales/2025/08/07/la-corte-suprema-pone-en-suspenso-la-extradicion-de-un-ex-brigadas-rojas-que-reclama-italia/","La Corte Suprema pone en suspenso la extradición de un ex Brigadas Rojas que reclama Italia","Silvana Boschi"
"https://infobae.com/politica/2025/08/07/lla-y-el-pro-oficializaron-el-acuerdo-electoral-en-caba-con-la-intencion-de-trabajar-juntos-hasta-2027/","LLA y el PRO oficializaron el acuerdo electoral en CABA con la intención de &quot;trabajar juntos&quot; hasta 2027","Brenda Struminger"
"https://infobae.com/politica/2025/08/07/el-mapa-electoral-del-pro-provincia-por-provincia-como-es-la-estrategia-de-alianzas-donde-predominan-los-acuerdos-con-lla/","Cómo es la estrategia de alianzas del PRO donde predominan los acuerdos con LLA en el país","Patricio Tesei"
"https://infobae.com/economia/2025/08/07/subastan-seis-propiedades-sin-herederos-en-caba-cuales-son-los-inmuebles-y-como-participar/","Subastan seis propiedades sin herederos en CABA: cuáles son los inmuebles y cómo participar",""
"https://infobae.com/judiciales/2025/08/07/ruta-del-dinero-k-la-camara-acepto-como-prueba-una-escucha-de-lazaro-baez/","Ruta del dinero K: la Cámara aceptó como prueba una escucha de Lázaro Báez",""
"https://infobae.com/teleshow/2025/08/07/florencia-pena-mostro-su-refugio-en-salta-en-medio-de-las-montanas-mi-lugar-en-el-mundo/","Florencia Peña mostró su refugio en Salta en medio de las montañas: “Mi lugar en el mundo”","Sebastián Volterri"
"https://infobae.com/teleshow/2025/08/07/eva-bargiela-revelo-el-nombre-que-eligieron-con-gianluca-simeone-para-su-hijo-ibamos-cambiando-todo-el-tiempo/","Eva Bargiela reveló el nombre que eligieron con Gianluca Simeone para su hijo","Sebastián Volterri"
"https://infobae.com/politica/2025/08/07/milei-inaugurara-la-campana-bonaerense-con-una-foto-en-la-matanza-estaran-todos-sus-candidatos-pareja-ritondo-y-bullrich/","El Presidente inauguró la campaña bonaerense con una foto en La Matanza junto a sus candidatos","Julián Alvez"
"https://infobae.com/tecno/2025/08/07/infobae-transformo-el-periodismo-digital-con-inteligencia-artificial-daniel-hadad-en-ia-conversation-de-google/","Infobae transformó el periodismo digital con IA: Daniel Hadad, en IA Conversation de Google","Sindy Valbuena Larrota"
"https://infobae.com/economia/2025/08/07/vaca-muerta-quien-se-queda-con-la-riqueza-y-quien-paga-los-costos/","Vaca Muerta: ¿quién se queda con la riqueza y quién paga los costos?","Felicitas Hadad"
